X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ADDRESS,SCHOOL_NAME,WEBSITE,SCHOOL_TYPE,TYPE,STATUS
-79.72825775525,43.7291839025584,,,,,,,-1,0,-1,,,79,100 HILLDALE CRES,HILLDALE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.6989797442182,43.716086810637,,,,,,,-1,0,-1,,,80,100 DORSET DR,DORSET DRIVE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7667306160759,43.7537188962441,,,,,,,-1,0,-1,,,81,100 DEWSIDE DR,SPRINGDALE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7484218471838,43.7204744552183,,,,,,,-1,0,-1,,,82,10 NORTH PARK DR,NORTH PARK S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7514874956504,43.7752601250843,,,,,,,-1,0,-1,,,83,10 FATHER TOBIN RD,SHAW P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.6833200702366,43.7881669272794,,,,,,,-1,0,-1,,,84,10 CASTLE OAKS CROSS,CARDINAL AMBROZIC CATHOLIC S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.7807857210857,43.7046054230765,,,,,,,-1,0,-1,,,85,10 BRICKYARD WAY,ST. CECILIA E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.8179921083492,43.6924252700117,,,,,,,-1,0,-1,,,86,1-333 FAIRHILL AVE,APPLEWOOD MONTESSORI ACADEMY & DAYCARE,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY,CURRENT
-79.7001907134342,43.735860021744,,,,,,,-1,0,-1,,,87,1-253 SUMMERLEA RD,AL-IMAN SCHOOL,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY,CURRENT
-79.7202332673423,43.718388246504,,,,,,,-1,0,-1,,,88,011-150 CENTRAL PARK DR,KINDERKOLLEGE ELEMENTARY SCHOOL,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY,CURRENT
-79.7113940489581,43.7275271119052,,,,,,,-1,0,-1,,,89,28 FINCHGATE BLVD,GEORGES VANIER CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7576309858486,43.7464623948226,,,,,,,-1,0,-1,,,90,275 FERNFOREST DR,FERNFOREST P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8301341682812,43.694723050489,,,,,,,-1,0,-1,,,91,275 BRISDALE DR,ST. EDMUND CAMPION S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.7648643606482,43.6581217434734,,,,,,,-1,0,-1,,,92,27 DRINKWATER RD,ST. AUGUSTINE S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.744088600978,43.7659356402658,,,,,,,-1,0,-1,,,93,2671 SANDALWOOD PKY E,SANDALWOOD HEIGHTS S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7510170428351,43.7235117160479,,,,,,,-1,0,-1,,,94,255 NORTH PARK DR,RUSSELL D. BARBER P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8190679484381,43.7066253140188,,,,,,,-1,0,-1,,,95,254 QUEEN MARY DR,ROWNTREE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.748401354838,43.666590963417,,,,,,,-1,0,-1,,,96,251 MCMURCHY AVE S,BRAMPTON CENTENNIAL S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7659045193796,43.6995115438293,,,,,,,-1,0,-1,,,97,250 CENTRE ST N,SIR JOHN A. MACDONALD SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7317001080022,43.7648562061125,,,,,,,-1,0,-1,,,98,25 MOUNTAINBERRY RD,FATHER CLAIR TIPPING E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7367132988798,43.7107048790559,,,,,,,-1,0,-1,,,99,25 LAURELCREST ST,ECOLE ELEMENTAIRE CATHOLIQUE SAINTE-JEANNE-D'ARC,http://www.csdccs.edu.on.ca,CATHOLIC FRENCH,ELEMENTARY,CURRENT
-79.821156968263,43.7081645985748,,,,,,,-1,0,-1,,,100,25 KANATA RD,ST. LUCY CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7106303171925,43.7390640901597,,,,,,,-1,0,-1,,,101,25 CORPORATION DR,ST. THOMAS AQUINAS S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.7566038193905,43.6725233830538,,,,,,,-1,0,-1,,,102,25 BRENDA AVE,RIDGEVIEW P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7296188975321,43.7846175909224,,,,,,,-1,0,-1,,,103,25 BLOOMSBURY AVE,HOLY SPIRIT E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7986845223069,43.7333796449114,,,,,,,-1,0,-1,,,104,24 KERWOOD PL,SACRED HEART E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7205385864413,43.7298590877038,,,,,,,-1,0,-1,,,105,24 GOLDCREST RD,GOLDCREST P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7388147333429,43.6767295057378,,,,,,,-1,0,-1,,,106,24 DUNCAN BULL DR,PARKWAY P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8182859104201,43.7054852683944,,,,,,,-1,0,-1,,,107,236 QUEEN MARY DR,CHEYNE M.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7660444656698,43.7025143112198,,,,,,,-1,0,-1,,,108,235 KINGSWOOD DR,KINGSWOOD DRIVE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.759929388646,43.7663039130965,,,,,,,-1,0,-1,,,109,235 FATHER TOBIN RD,HEWSON P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7124212843504,43.70844928145,,,,,,,-1,0,-1,,,110,233 BALMORAL DR,BALMORAL DRIVE SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8097558397327,43.6416908600785,,,,,,,-1,0,-1,,,111,2322 EMBLETON RD,HUTTONVILLE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7416189348348,43.6800868198653,,,,,,,-1,0,-1,,,112,22 ABBEY RD,CANADA CHRISTIAN ACADEMY,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY - SECONDARY,CURRENT
-79.729045989817,43.7189312686593,,,,,,,-1,0,-1,,,113,215 HANOVER RD,HANOVER P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7785257913903,43.6787948791748,,,,,,,-1,0,-1,,,114,21 CAMPBELL DR,BEATTY-FLEMING SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.718146879853,43.71478580918,,,,,,,-1,0,-1,,,115,201 CLARK BLVD,CLARK BOULEVARD P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8066067245341,43.6729432991086,,,,,,,-1,0,-1,,,116,200 VALLEYWAY DR,ST. ROCH CATHOLIC S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.7510437544424,43.6562943915998,,,,,,,-1,0,-1,,,117,200 MORTON WAY,MORTON WAY P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7803627117867,43.7043332620806,,,,,,,-1,0,-1,,,118,20 BRICKYARD WAY,WESTERVELTS CORNERS P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7796400679085,43.7195807115674,,,,,,,-1,0,-1,,,119,2 NOTRE DAME AVE,NOTRE DAME S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.7906877988874,43.7233930189825,,,,,,,-1,0,-1,,,120,185 CONESTOGA DR,ST. LEONARD E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7547587213085,43.7080170973411,,,,,,,-1,0,-1,,,121,170 RUTHERFORD RD N,GORDON GRAYDON SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8157222104386,43.7282516250281,,,,,,,-1,0,-1,,,122,17 COLONEL BERTRAM RD,ST. STEPHEN E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7353050862885,43.763904020741,,,,,,,-1,0,-1,,,123,160 MOUNTAINASH RD,ROBERT J. LEE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.6924082835184,43.7720367121174,,,,,,,-1,0,-1,,,124,160 CALDERSTONE RD,CALDERSTONE M.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7248361850294,43.6540927033568,,,,,,,-1,0,-1,,,125,155 CHERRYTREE DR,CHERRYTREE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7851052740953,43.6740869221218,,,,,,,-1,0,-1,,,126,15 FINCHAM AVE,OUR LADY OF PEACE SEPARATE E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.73286663252,43.7783300912517,,,,,,,-1,0,-1,,,127,145 TREELINE BLVD,TREELINE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.767606074248,43.7150580670473,,,,,,,-1,0,-1,,,128,140 WINTERFOLD DR,ARNOTT CHARLTON P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8114010011686,43.6728995234812,,,,,,,-1,0,-1,,,129,9775 CREDITVIEW RD,JAMES POTTER P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.6709387669283,43.7714724349643,,,,,,,-1,0,-1,,,130,97 GALLUCCI CRES,CLAIREVILLE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
